SMILES,num_heavy,molecular_weight,LogP
C[C@H](N)C(=O)O,6,89.09,-0.58
NC(N)=NCCC[C@H](N)C(=O)O,12,174.20,-1.55
NC(=O)C[C@H](N)C(=O)O,9,132.12,-1.73
N[C@@H](CC(=O)O)C(=O)O,9,133.10,-1.13
N[C@@H](CS)C(=O)O,7,121.16,-0.67
N[C@@H](CCC(=O)O)C(=O)O,10,147.13,-0.74
NC(=O)CC[C@H](N)C(=O)O,10,146.15,-1.34
NCC(=O)O,5,75.07,-0.97
N[C@@H](Cc1cnc[nH]1)C(=O)O,11,155.16,-0.64
CC[C@H](C)[C@H](N)C(=O)O,9,131.18,0.44
CC(C)C[C@H](N)C(=O)O,9,131.18,0.44
NCCCC[C@H](N)C(=O)O,10,146.19,-0.47
CSCC[C@H](N)C(=O)O,9,149.22,0.15
N[C@@H](Cc1ccccc1)C(=O)O,12,165.19,0.64
O=C(O)[C@@H]1CCCN1,8,115.13,-0.18
N[C@@H](CO)C(=O)O,7,105.09,-1.61
C[C@@H](O)[C@H](N)C(=O)O,8,119.12,-1.22
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,15,204.23,1.12
N[C@@H](Cc1ccc(O)cc1)C(=O)O,13,181.19,0.35
CC(C)[C@H](N)C(=O)O,8,117.15,0.05
